Tag 1,Tag 2,Rules
1. Organizational Management,1.1. General Requirements,management representative designat hav overall responsibility authority achiev organizations conformity applicable certification requirements description sites production process andor collection disclos body Textile Exchange current accurate includes follow a Organization name b Street address c Type activities perform site audit purposes organization allows access to locations includ farmland buildings etc processespractices scope certificate animals documents records relat unifi standard include financial d workers ie staff contractors interview restrictions absence deem necessary team protect privacy written Management Plan place relevant given objectives resources manag environmental conditions limitations local socioeconomic profile adjacent lands Strategies waste reduction reusage recycl us ensures contract met work sign animal fibers Contractor Declaration provid services maintains complete uptodate demonstrate requir retain minimum 5 years does conduct parallel species meet complies laws regulations complet Farm Facility Questionnaire Geographic Information GIS data input develop requests selfreport information monitor evaluation impacts contributes learn 1 person sufficient understand officially aim avoid potential confusion Certification Body CB implement need actions shall disclose operations 2 Group Internal Control ICS responsible collect members ifwhen sampl visit review people auditor intention clear picture operation determine reasonable sample line risk ratings criteria defin procedures appropriate scale intensity necessarily mean unique document series technical specific plans different serve purpose guid certifi 3 reflect operat circumstances needs live regular reviews at annually calibrationsupdates lessons improve system leadership criterion encourag comply gain strategies compost treat organic general requirement objective raise awareness that sections happen rais template ANNEX Records updat compliance New candidate start date application ne request historical before main farms own Special cases sent consideration depend eg use mules rams able present demonstrates focus list check systematic verification happens finds noncompliance corrective action agency essential element shows willingness rectify situation adopt measures th future depends type evaluat questionnaire additional instructions ConformanceRelat Leadership MEL Indicator Major Minor Critical Recommendation Cotton Sheep wool Mohair Alpaca Cashmere Down Recycl MMCF Biomaterials Skins
1. Organizational Management,1.2. Shared Responsibilities,procedure plan policy organization assign competent employees responsible implementation review annually person charge updat necessary Workers access unifi standard aware requirements relevant responsibilities Relevant procedures available written andor visual form workers language understand receive adequate train supervision ensure proper includ organizations management policies Train records maintain 1 CB shall verify sufficient appropriate resources it contract services objective accord current activities happen Hence request readreview documents needs changedupdat proce accordingly 2 means verification check contain information bas realcurrent conditions verifi site Interview general knowledge able hypothetical situations undertak specific duties eg handbooks pictograms posters local context academic capacities applicable species include euthanasia shear castration tail dock transportation others develop tools type offer conformance observation performance list attendees material us trainings pictures etc interview level key issues frequency need depend cases new hir ne socializ Trainings refresh annual basis Important dates qualifications people provid sessions title names mind criterion regard time retention ConformanceRelat Major Minor Cotton Sheep wool Mohair Alpaca Cashmere Down Recycl MMCF Biomaterials Skins
2. Human Rights and Livelihoods,"2.1. Policies, Management Systems and Records",organization written commitment respect human rights recogniz international agreements guidelines includ to a Avoid caus contribut adverse impacts b Prevent mitigate link operations clear policies codes conduct meet internationally outline objectives strategies actions intend outcomes relat follow topics relevant content correspond section unifi standard Stakeholder Engagement Grievance Mechanism c Remuneration d Work Hours e Child Labor f Forc g Freedom Association Collective Bargain h Discrimination i Harassment Abuse j Health Safety k Workers Hous l Indigenous Peoples Local Communities Rights NOTE review regularly updat need periodicity clearly stat easily accessible employees stakeholders identifi assess document risks associat maintains list indicators conducts regular assessments risk conditions evolve assessment considers likelihood severity nature potential infringement outlin sections maps record material input suppliers ie inputs us produce supplier ii type iii contract iv materials receiv v volumes vi addresslocation service providerscontractors involv production contractor services provid contractors engages Hav publicly available actively engage rightsholders right meaningful effective participation decisions affect them Maintain impact organizations activities map address analysis Rightsholderstakeholder mapp consider minimum communities businesses Organizations support advocate eg civil society independent unions etc Bas results stakeholder develops Plan engag accordance plan engagement states expect rightsholderstakeholder for example year month schedule implementation specific consultation 12 period includes procedure feedback taken implements grievance mechanism Development workers aligns Guid Principles Effectiveness Criteria NonJudicial Mechanisms procedures complaints internal external remediation shar hir develop ifwhen changes made grievances dates protects identity aggriev implement Recruitment Management recruit agency broker verification age ensures fees collect condition recruitment agencybroker yearround tasks directly subcontract secur thirdparty some exceptions apply establish national employment program work visa wages benefits paid employer themselves labor criteria documentation recruits pays keeps manages records request format language understand contracts Employment contractsagreements include least worker Job description hours pay rate sign prior additional young eighteen 18 years detail hazards monitor protect Contractors similar above auditors pass place tracks Daily start end times Total payment or 48 week whichever lower overtime perform Pay rates different units unit time task piece quota amounts disincentive efficiency Payment structures mix job scenarios quotabas casualasneed Number days leave unpaid earn holiday vacation sick maternity status formal informalcasualwithout social security temporary explanation manner remuneration determin basis guarante cash earnings performancebas bonuses read slips information know process inquire questions like andor believe incorrect works liv wage Identify local Liv Wage Benchmark track lowest value accord guidance describ 1 ANNEX 2 provides general overview Annex go comprehensive mandatory level conformity requirements depend size definitions Small Medium Large Producers Facilities 3 requirement hav 4 Producer 5 6 Facility any 7 Available Guidance applicable publications individual declarations explain commitments criterion begun fully recommendation applies incomplete group supply chain details complet complete active tak met Criterion means compliance existence ProducerFacility System gaps communicat identify benchmark sett ConformanceRelat MEL Indicator Leadership Major Minor Recommendation Cotton Sheep wool Mohair Alpaca Cashmere Down Recycl MMCF Biomaterials Skins
2. Human Rights and Livelihoods,2.2. Labor Rights,organization protects health safety workforce follow a identifies controls hazards workplace us risk assessment basis implement preventative measures train procedures line legal requirements relevant international conventions whichever affords workers greater protection b aid equipment available appropriate potential risks organizations site c member crew complet 5 years d provides unrestrict access clean safe sanitation facilities at toilets wash basins drink water onsite operations does discriminate person reason takes actions prevent discrimination kind through Develop employment identify includ recruitment compensation benefits work assignments advancement discipline termination retirement remediation plan identifi cases prioritizes welfare victim Maintain record issues process outcomes harassment abuse forms of andor threat verbal physical sexual threats allows members association choice proactively engages independent worker representative present locally currently potentially support national law permits Workers subject retaliation exercis right freedom implements restriction collective bargain restricts operat supports establishment alternative means employee committees manages hours Development implementation procedure actual day start time moment enter end leave communicates representatives transparent manner processes regular legally establish agreement CBA negotiat fortyeight 48 week lower require overtime ensures voluntary comply requir limits exce 12 e receive rest seven Remuneration Management pays minimum wage perform defin as criterion above accordance with i applicable ii Collective Bargain Agreement iii industry standard higher premium accord to iv 125 Payments twice month paid form acceptable them annual holiday vacation medical maternity f labor contractors similar documentation contractor hires liv increas wages equal recogniz benchmark offers loans happens loan Terms conditions document rate charg level undue burden repayment bind job prevents remediates child young people eighteen 18 age expos interfere school for exposure interference education directly indirectly contribut considers best Remediation shall inform expert specialize Child Labor Monitor System possible maintains incidences relat hazardous engage forc indicators bond unifi standards harassmentabuse processoutcomes withhold belongings documents passports visas personal kept service security purposes bas decision secure storage provid enable Wages withheld penalty force payment debt hous individual families applies Hous meets space hygiene comfort specifications accompany guidance follows ILO Recommendation Workers’ 1961 No 115 Code Practice Safety Health Agriculture 2010 National wellventilat cook 247 children live place workday ageappropriate 1 requirement compliance organizational 2 Small Producer informal approach 3 Medium Large fully 4 Facility any size allow practices ProducerFacility Level Conformity increase Critical activation group grievance mechanism 6 Criterion system remuneration Verifiers reflect contracts policies meet recommendation prevention worst Convention 182 ConformanceRelat MEL Indicator Leadership Major Minor Cotton Sheep wool Mohair Alpaca Cashmere Down Recycl MMCF Biomaterials Skins
2. Human Rights and Livelihoods,2.3. Social Justice,organization addresses Indigenous PeoplesLocal Communities IPLC issues follow a Respect IPLCs rights enjoyment defin local laws customs international conventions declarations b does engage actions affect value resources limit access lands live right use infringe special connection enjoy necessary physical cultural survival c implements document procedures practices prevent address risks includ applicable engag Free Prior Inform Consent FPIC law assessment social baseline andor land tenure study need d remediation plan identifi cases infringement caus potential environmental harms 1 requirement respect 2 Small ProducerFacility criterion applies informal commitmentsprocedures 3 Medium Large ConformanceRelat Major Cotton Sheep wool Mohair Alpaca Cashmere Down Recycl MMCF Biomaterials Skins
2. Human Rights and Livelihoods,2.4. Livelihoods,organization tracks costs production process facilities address livelihoods issues follow a assesses prices pays raw material suppliers annual basis b minimum adjusts annually bas inflation maintain real c works cover increases d possible engages upstream downstream supply chain work meet liv income as defin internationally recogniz benchmarks available require increas collaboration partners 1 Small ProducerFacility recommendation only 2 Medium Large criterion applies 3 Textile Exchange provide suggest template Criterion size Facility ConformanceRelat Leadership Minor Recommendation Cotton Sheep wool Mohair Alpaca Cashmere Down Recycl MMCF Biomaterials Skins
2. Human Rights and Livelihoods,2.5. Management of Waste Collection for Recycled Inputs,organization manages waste collection recycl inputs follow applies a maintains record formal informal pickers provide input material sorters includ company information individuals name date birth contact b implements procedure transparently receiv picker sorter includes i Date ii Description iii Quantity iv Pay given c identifi assess document human rights risks specifically associat sort list indicators conducts regular assessments risk conditions evolve organizations assessment considers likelihood severity nature potential Child labor educational impacts Forc identify vulnerable groups workers Health safety consideration hazards local relevant laws regulations d process directly engag basis ensures able comfortable access grievance mechanisms e mitigation remediation procedures need 1 management 2 criterion size ConformanceRelat Minor Recycl
3. Land Use,3.1. Management Plan,organization takes action ensure soil land health maintain guid written Soil Land Health Management Plan review annually guide actions farm nonfarm areas includes follow a tenure b Forage resources c Graz practices d erosion e Compaction f Organic matter g biodiversity h risk relevant Workers responsibility implementation knowledgeable current best management competent recognize ne experts 1 shows plan exists considers list criteria below 2 communal farmers shar production area suffice members adhere collective 3 suggest template provid Elements seen lens just perspective needs describ such recognizes persons responsible implement activities capable so ConformanceRelat Major Minor Critical Sheep wool Mohair Alpaca Skins
3. Land Use,3.2. Soil Health,organization uses land management techniques prevent minimize a Soil compaction b Loss soil organic matter c erosion d Degradation vegetation cover damage detect efforts restore damag areas implements plan monitor of Vegetation coverage composition health e Efficacy us f number distribution sites conform unifi standard Monitor Guidance ensure points strategically plac representative scale potential impact reseed plant fodder crops conservation low till practices implement degrad overgraz undergraz andor test conduct annually guid Regenerative Outcomes Framework hazardous materials dispos farmland disposal occurs designat compliance legal requirements 1 Land Health Management Plan include descriptions actions degradation 2 Animal stock rates graz Erosion prevention control systems 3 specific relevant describ 4 criterion check appropriate action includes production eg pastures rangeland cropp otherwise riparian buffer strips etc identifi strategic restoration ne rehabilitation changes activities promote better design crop as gain objective information progress sustainable effectiveness threat mitigation interventions vary start point focus basic level onfarm available communal farmers shar area suffice members adhere collective guidance provid user manual consideration Selection Number methodologies applies grows supplementary support certifi livestock rangelands not native result conversion consider pressure animal presencestock density Examples increas bare ground negative change species increase exotic risks mitigate this assess avoid place recognizes sets encourage minimum farm bas simple water infiltration tests visual condition assessments structure biodiversity like community ratios Hazardous defin categories stipulat local regulations pose human quality waste from products medicines sharps Chemicals fertilizers pesticides clean agents antifreeze Certain build asbestos contaminat concrete Batteries Equipment contain refrigerants freezers air conditioners Lubricat oils filters Paints coatings Machinery tires Pressuriz containers Devices mercury thermometers fluorescent bulbs thermostats electrical switches ConformanceRelat Leadership MEL Indicator Major Minor Recommendation Sheep wool Mohair Alpaca Skins
3. Land Use,3.3. Soil Nutrients,organization written Nutrient Management Plan place bas principles efficiency reduction use synthetic fertilizers calculates likely crop requirements tak account available nutrients soil organic manures composts residues Soil nutrient levels test record year certification minimum 5 years thereafter applications appropriate specific needs avoid excess waste Application equipment kept good work order clean regularly calibrat uses compost produc property originat wastes byproducts region application types amounts appli accordance hous production systems us Manure includes follow information a volume manure b c soilplants spread d tim method Fertilizers intend area buffer zone water bodies riparian zones natural ecosystems 1 set strategically plan terms type need methodology level management vary scale farm plann 2 communal farmers shar land suffice members adhere collective Pasture add not includ deposition graz livestock forages harvest reseed overseed takes exempt requirement criterion potassium phosphorous pH ensures practices describ Appropriate identify crops treat methodologies ensure efficient reduce risk recognizes ne maintain risks pos human environmental safety accuracy Us andor certifi surround reduces external fertilizer recordkeep attach records volumes cropp cycle specify hectares aim support exist proof rates time monitor trends assesses exists content applicable generate concentrat associat sufficient additional utilize important negative impact details Note direct include assessments ensur efficiently responsibly possible way avoids environment width determine depend example surface versus injection ConformanceRelat MEL Indicator Leadership Minor Recommendation Major Sheep wool Mohair Alpaca Skins
