Tag 1,Tag 2,Tag 3,Rule 1,Rule 2,Rule 3,Rule 4,Rule 5,Your Comments
1. Organizational Management,1.1. General Requirements,1.1.1,A management representative has been designated as having overall responsibility and authority for achieving the organization's conformity to all applicable certification requirements.,1) Any person with sufficient authority and understanding of the unified standard requirements can be officially designated by the organization. The aim is to avoid any potential confusion by the Certification Body (CB) as to who has the authority to implement any needed actions within the organization.,Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.2,"The organization's description of its site(s) for production, processing, and/or collection, disclosed to its certification body and to Textile Exchange, is current and accurate, and includes the following:
a) Organization name;
b) Street address; and 
c) Type of activities performed at each site.","1) The organization shall disclose a complete written description of its operations within the scope of the certificate to its CB and to Textile Exchange.

2) For Group Certification it is the Internal Control System (ICS) the responsible to collect data from all its members.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.3,"For auditing purposes, the organization allows access to:
a) All locations (including farm-land, buildings, etc.), and processes/practices included within the scope of the certificate;
b) All animals within the scope of the certificate;
c) All documents and records related to the unified standard requirements, which may include financial records; and
d) All workers (i.e., staff and contractors), for interviewing without any restrictions, and in the absence of management as deemed necessary by the audit team and/or to protect the workers' privacy.","1) Even if/when the CB is sampling sites to visit, documents to review, or people to interview, the organization shall disclose everything to its auditor. The intention is for the CB to have a clear picture about the full operation, and determine a reasonable sample to audit, in line with the given risk ratings or other criteria as defined by the relevant certification procedures.",Conformance-Related,Critical,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.4,"The organization has a written Management Plan in place, which includes the following, if relevant to the given scope:
a) The management objectives; and
b) A description of the resources to be managed.","1) The Management Plan is appropriate to the scale and intensity of the operation.

2) The Management Plan does not necessarily mean a unique document, but it could be a series of technical documents (i.e., specific plans required under different criteria, which are specific to the scope), which serve the purpose of guiding the activities within the certified operations.

3) The Management Plan shall reflect the current operating circumstances; it needs to be a live document with regular reviews (at least annually) and calibrations/updates whenever relevant, including lessons learned to improve the overall management system.",Conformance-Related,Major,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.5,"The organization's written Management Plan includes the following:
a) A description of the resources to be managed, including the environmental conditions and limitations, the local socioeconomic conditions, and a profile of adjacent lands; and
b) Strategies for waste management, including its reduction, reusage, and recycling.","1) This is a leadership criterion, but all the organizations are encouraged to comply with these requirements, given that a Management Plan still has to be developed to gain certification.

2) The strategies for waste management can also include composting, when treating organic waste.",Leadership,Recommendation,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.6,"If contractors are used, the organization ensures that all relevant requirements related to contracting in this unified standard are met.","1) This is a general requirement, with the objective to raise awareness that, in other sections of the unified standard there are specific requirements whenever contracting activities within the scope of the certificate happen.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.7,All contractors working with animals have signed the animal fibers Contractor Declaration before providing their services.,"1) Only applicable for organizations raising animals.

2) The Contractor Declaration template can be found in ANNEX 1.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Cashmere, Skins",
1. Organizational Management,1.1. General Requirements,1.1.8,The organization maintains complete and up-to-date records of relevant documents to demonstrate its conformity with all applicable certification requirements.,"1) Records shall be updated as needed, to show full compliance with the unified standard.",Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.9,All records required by the unified standard are retained for a minimum of five (5) years.,1) New candidate organizations for certification can show compliance by start retaining relevant records from the date of application or certification. There is no need to request historical records when the organization had not been certified before.,Conformance-Related,Minor,"Cotton, Sheep wool, Mohair, Alpaca, Cashmere, Down, Recycled, MMCF, Biomaterials, Skins",
1. Organizational Management,1.1. General Requirements,1.1.10,"The organization does not conduct ""parallel production"", i.e., all animals of the species included in the scope of the certificate meet the requirements of the unified standard. ","1) The main objective is that the organization includes all animals of the same species in its scope certificate, even if they are in different farms owned by the organization.

2) Special cases can be sent for consideration of Textile Exchange, through the CB, depending on specific circumstances (e.g., use of mulesed rams).",Conformance-Related,Critical,"Sheep wool, Mohair, Alpaca, Cashmere, Down",
